kW,kVAr
165.5014961,68.03950394
164.8575,69.6065
168.2044744,66.66452562
116.7232278,50.93377215
102.0093701,50.40462992
104.9617188,48.58228125
114.1714801,52.27851986
124.996015,70.58598496
165.4334426,86.85255738
173.0822197,87.73478032
212.5482213,94.73577866
201.3468394,90.83316062
196.3265977,93.51740228
192.9279592,97.94804082
189.5191815,94.90881847
179.3711409,87.89185906
182.751978,89.87802198
190.5094474,91.8045526
172.6243243,82.85967568
196.3265977,93.51740228
211.0052454,88.0717546
235.5711575,91.1288425
244.0942287,96.40177132
205.2425166,76.49948344
165.5358051,63.12019486
111.7297978,52.54320221
90.4517666,48.0432334
104.4405405,50.13145946
116.7232278,50.93377215
155.6286777,65.91332231
158.2137462,51.26125378
192.7438462,57.82315385
190.9007576,61.08824242
185.3283722,77.19462777
205.5068063,71.53519366
217.6330195,73.80598052
201.7410673,69.97893271
199.3869091,74.77009091
213.9296939,76.82730612
157.0469609,57.84303907
158.9731224,62.97187761
228.9372297,77.68077034
204.7084983,73.13250169
236.5227171,84.58428293
246.272297,91.65070295
183.4850914,81.88590857
192.5453356,80.68566443
149.1316364,55.92436364
150.6814815,52.73851852
130.676875,48.537125
141.2221622,54.00583784
114.8576459,44.70135409
116.7232278,50.93377215
119.9172414,60.40275862
144.5611833,73.32381669
161.5503001,85.36969988
166.4933697,90.17163031
202.6621413,128.9988587
210.7856799,105.8413201
217.8048276,98.01217241
197.3984817,90.41151832
167.336688,87.07431199
198.7046734,98.60532663
171.6305041,85.96449594
182.3594138,85.00058625
160.0439344,77.18006557
154.2949749,81.89502513
211.9714145,96.29558546
230.9928467,102.1231533
233.4464557,101.8675443
224.3662536,97.07274644
154.9103526,62.57764739
115.3328044,49.16819557
112.6626923,56.92430769
127.6554054,61.27459459
145.5404729,70.21952712
132.9620953,64.53890469
171.3493401,69.7636599
225.2039765,72.31902345
157.8187664,56.25223358
179.3053846,53.79161538
154.04375,54.70125
214.7219514,75.23104865
206.7867114,73.31528859
182.9384034,59.17659658
203.1108103,63.33218968
176.6124397,58.66056032
136.5315615,50.26843854
166.86576,64.89224
231.8758116,80.84318838
221.859501,78.74449896
207.3048079,76.6871921
167.5239048,68.23909518
187.9247865,81.83821348
189.3208935,83.60410655
191.31,83.812
174.0864444,73.29955556
170.2436684,66.85933159
167.5239048,68.23909518
149.1730737,65.75792635
147.1847004,65.55029957
126.77,57.952
143.2272793,65.13072069
149.0277806,79.67821935
169.7052098,85.74579021
165.4334426,86.85255738
222.0588127,93.08218726
191.4495198,95.12648017
205.5291923,97.21380773
216.3999758,96.2450242
220.982377,95.09862295
184.3253139,85.2126861
187.9247865,81.83821348
189.9189944,82.04500559
235.9687061,95.6132939
225.4446578,95.05234221
228.7634785,92.11952153
