kW,kVAr
206.2801932,64.92753623
199.5169082,64.92753623
160.6280193,58.84057971
162.3188406,58.84057971
153.8647343,56.8115942
175.8454106,58.84057971
145.410628,54.7826087
142.0289855,52.75362319
140.3381643,52.75362319
108.2125604,54.7826087
103.1400966,56.8115942
98.06763285,54.7826087
128.5024155,62.89855072
123.4299517,75.07246377
158.9371981,77.10144928
206.2801932,85.2173913
199.5169082,87.24637681
169.0821256,77.10144928
192.7536232,83.1884058
170.7729469,79.13043478
164.0096618,77.10144928
175.8454106,79.13043478
148.7922705,75.07246377
135.2657005,73.04347826
113.2850242,62.89855072
114.9758454,62.89855072
172.4637681,77.10144928
199.5169082,89.27536232
199.5169082,85.2173913
213.0434783,85.2173913
240.0966184,103.4782609
202.8985507,97.39130435
158.9371981,91.30434783
169.0821256,85.2173913
209.6618357,89.27536232
209.6618357,83.1884058
194.4444444,52.75362319
201.2077295,73.04347826
170.7729469,66.95652174
206.2801932,73.04347826
221.4975845,77.10144928
228.2608696,81.15942029
192.7536232,68.98550725
158.9371981,56.8115942
152.173913,54.7826087
140.3381643,54.7826087
140.3381643,54.7826087
213.0434783,68.98550725
233.3333333,71.01449275
224.8792271,71.01449275
211.352657,71.01449275
162.3188406,56.8115942
182.6086957,64.92753623
138.647343,52.75362319
145.410628,54.7826087
148.7922705,52.75362319
138.647343,50.72463768
118.3574879,52.75362319
114.9758454,50.72463768
138.647343,62.89855072
160.6280193,83.1884058
219.8067633,101.4492754
236.7149758,105.5072464
214.7342995,101.4492754
211.352657,101.4492754
240.0966184,107.5362319
243.4782609,105.5072464
241.7874396,99.42028986
267.1497585,115.6521739
314.4927536,131.884058
304.3478261,133.9130435
284.057971,133.9130435
245.1690821,123.7681159
236.7149758,115.6521739
262.0772947,121.7391304
262.0772947,105.5072464
245.1690821,95.36231884
219.8067633,81.15942029
221.4975845,81.15942029
164.0096618,66.95652174
169.0821256,64.92753623
184.2995169,79.13043478
250.2415459,97.39130435
209.6618357,85.2173913
189.3719807,68.98550725
216.4251208,73.04347826
216.4251208,75.07246377
199.5169082,73.04347826
221.4975845,75.07246377
228.2608696,66.95652174
206.2801932,60.86956522
211.352657,64.92753623
160.6280193,56.8115942
211.352657,68.98550725
196.1352657,60.86956522
243.4782609,71.01449275
191.0628019,62.89855072
209.6618357,66.95652174
184.2995169,60.86956522
211.352657,66.95652174
170.7729469,58.84057971
150.4830918,52.75362319
155.5555556,54.7826087
164.0096618,52.75362319
150.4830918,52.75362319
121.7391304,50.72463768
114.9758454,52.75362319
140.3381643,60.86956522
196.1352657,101.4492754
241.7874396,111.5942029
253.6231884,113.6231884
204.589372,109.5652174
248.5507246,129.8550725
243.4782609,121.7391304
236.7149758,117.6811594
221.4975845,119.7101449
245.1690821,117.6811594
280.6763285,115.6521739
273.9130435,115.6521739
241.7874396,115.6521739
240.0966184,115.6521739
223.1884058,107.5362319
192.7536232,93.33333333
241.7874396,97.39130435
253.6231884,97.39130435
265.4589372,107.5362319
229.9516908,103.4782609
231.6425121,107.5362319
238.4057971,109.5652174
258.6956522,125.7971014
228.2608696,97.39130435
226.5700483,83.1884058
182.6086957,71.01449275
192.7536232,58.84057971
172.4637681,58.84057971
194.4444444,58.84057971
253.6231884,83.1884058
265.4589372,89.27536232
270.531401,87.24637681
253.6231884,89.27536232
179.2270531,64.92753623
191.0628019,62.89855072
250.2415459,85.2173913
250.2415459,85.2173913
250.2415459,85.2173913
233.3333333,83.1884058
219.8067633,79.13043478
189.3719807,75.07246377
189.3719807,73.04347826
179.2270531,73.04347826
162.3188406,60.86956522
152.173913,52.75362319
136.9565217,54.7826087
118.3574879,52.75362319
120.0483092,50.72463768
131.884058,60.86956522
164.0096618,79.13043478
169.0821256,93.33333333
202.8985507,99.42028986
206.2801932,101.4492754
226.5700483,109.5652174
257.0048309,109.5652174
214.7342995,107.5362319
213.0434783,109.5652174
255.3140097,119.7101449
245.1690821,111.5942029
216.4251208,105.5072464
236.7149758,105.5072464
224.8792271,105.5072464
246.8599034,107.5362319
260.3864734,97.39130435
221.4975845,95.36231884
175.8454106,73.04347826
162.3188406,68.98550725
191.0628019,77.10144928
182.6086957,79.13043478
172.4637681,64.92753623
170.7729469,66.95652174
182.6086957,68.98550725
180.9178744,56.8115942
150.4830918,50.72463768
164.0096618,52.75362319
180.9178744,56.8115942
172.4637681,56.8115942
221.4975845,64.92753623
219.8067633,68.98550725
224.8792271,66.95652174
185.9903382,62.89855072
150.4830918,54.7826087
236.7149758,93.33333333
292.5120773,113.6231884
284.057971,107.5362319
255.3140097,97.39130435
238.4057971,97.39130435
213.0434783,93.33333333
245.1690821,99.42028986
223.1884058,93.33333333
172.4637681,66.95652174
148.7922705,52.75362319
145.410628,54.7826087
148.7922705,60.86956522
155.5555556,75.07246377
142.0289855,66.95652174
160.6280193,77.10144928
192.7536232,105.5072464
209.6618357,101.4492754
196.1352657,85.2173913
248.5507246,121.7391304
284.057971,133.9130435
275.6038647,127.826087
311.1111111,129.8550725
292.5120773,125.7971014
253.6231884,105.5072464
245.1690821,105.5072464
245.1690821,105.5072464
243.4782609,109.5652174
